Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery
t489,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t490,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t491,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t492,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t493,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t494,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t495,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t496,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t497,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t498,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t499,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t500,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t501,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t502,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,1.1988839541081349,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,2.0,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t503,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,1.3446569182134311,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t504,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t505,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t506,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t507,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t508,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t509,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t510,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t511,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t512,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t513,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t514,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t515,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t516,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t517,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t518,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t519,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t520,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t521,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t522,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t523,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t524,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t525,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
t526,44.25914047466325,0.0,3.7079383372819774,0.0,8.999998579321456,1.175791675683474,0.0,4.0,6.999995478039097,3.001202894994106,0.0,10.0,0.0,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,0.0,0.0,0.0,0.0,11.999913824676304,0.0,0.0,0.24903630073580962,0.0,0.0,0.0,5.995698737861968,0.0,2.0,2.998854564187575,0.0,4.0,0.0,0.0,6.0,0.0,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,0.0,4.0,2.0,1.0,1.0,0.02544319212101253,0.0,0.0,0.0,0.0,0.0,0.0
